NEVER Buy,,Players to NEVER Buy,,,,Players to Not Buy Over $50 (value),,
,,,,,,,,
WNBA ,,Basketball,Football,Baseball,,Basketball,Football,Baseball
Collegiate,,,,,,,,
Unlicensed ,,Karl Malone,Backup QB's,Wander Franco,,Trae Young ,Mac Jones,Jasson Dominguez
Vintage,,,Obvious Garbage QB's,Julio Urias,,Jaren Jackson Jr.,Jayden Daniels ,
Ultra modern less than PSA/BGS 9,,,Obvious Garbage Players,Trevor Bauer,,Ja Morant ,Kyler Murray,
Baseball Prospects,,,Will Levis,Prospects ,,Zion Williamson,JJ McCarthy,
Cards with 8 or 9 autos ,,,Deshaun Watson,Vintage with no longstanding value,,Scoot Henderson,Mchael Penix Jr.,
Raw or Sealed ,,,Zach Wilson,Non-star players ,,,CJ Stroud,
Chipped/Cracked/Damaged Slabs,,,Kenny Pickett,,,,,
SGC,,,Desmond Ridder,,,,,
"Glass Cards (Absolute, etc).",,,Trey Lance,,,,,
,,,Henry Ruggs,,,,,
Currently avoiding buying these cards:,,,Justin Tucker,,,,,
,,,Aaron Hernandez, ,,,,
"Jalen Hurts cards over $1,000 value",,,Ray Rice,,,,,
"Shedeur Sanders cards over $1,000 value ",,,Bailey Zappe,,,,,
2023 Prizm Victor Wembanyama Silver (In all grades),,,Josh Rosen,,,,,
2018 Bowman Chrome Ohtani Batting (In all grades),,,Mitch Trubisky,,,,,
1997 Michael Jordan Fleer Decade of Excellence PSA 10 ,,,OJ Simpson,,,,,
Jordan cards in Wizard Jersey over 500+ ,,,Jordan Travis,,,,,
Xavier Worthy Kabooms ,,,Anthony Richardson,,,,,
Marvin Harrison Kabooms (9s are ok) ,,,Derek Carr,,,,,
Alexander Sarr Kaboom PSA 10 (9s are ok),,,Justin Fields,,,,,
1996 Kobe Topps PSA 10 (8s and 9s are ok),,,Antiono Brown,,,,,
2001 Pujols Topps Chrome (all grades),,,Tua Tagovailoa,,,,,
2018 Shoehi Ohtani Topps Heritage '69 Topps Deckle (all grades),,,,,,,,
2000 Brady Bowman (all grades. this is temporary),,,,,,,,
2000 Brady Bowman Chrome (all grades. this is temporary),,,,,,,,
2024 Shaq Horizontal Kaboom,,,,,,,,
1996 Michael Jordan Decade of Excellence (all grades) ,,,,,,,,
2009 Michael Jordan UD Legacy Gold (all grades),,,,,,,,
"Any topps ""through the years"" cards ",,,,,,,,
Drake Maye $500+,,,,,,,,
Sasaki $500+,,,,,,,,
Prizm Monopoly ,,,,,,,,
,,,,,,,,
"Pausing/limiting buying the following, for the time being:",,,,,,,,
,,,,,,,,
1990s Michael Jordan: Please limit to only the highest-end / standout copies.,,,,,,,,
2024 Optic and Donruss Football / Basketball Downtowns - Don't buy any right now.,,,,,,,,
2023 Downtowns: ONLY BUY these --> Star QB's and Legends,,,,,,,,
