8 Main Goats,Goats,,
,,,
All-Sports,Football,Basketball,Baseball
,,,
Tom Brady,Tom Brady,Michael Jordan,Babe Ruth
Stephen Curry,Patrick Mahomes,Lebron James,Mickey Mantle
Michael Jordan,Joe Montana ,Kobe Bryant,Lou Gherig
Lebron James,Jerry Rice,Stephen Curry,Hank Aaron
Kobe Bryant,Barry Sanders,Larry Bird,Ken Griffey Jr.
Lionel Messi ,Peyton Manning,Magic Johnson,Willie Mays
Cristiano Ronaldo ,Dan Marino ,Kareem Abdul-Jabar,Sandy Koufax
Shoehi Ohtani,Walter Payton ,Shaquille O'Neal,Nolan Ryan
,Randy Moss,Tim Duncan,Randy Johnson
,John Elway,Wilt Chamberlain,Ichiro Suzuki
,Emmitt Smith,Jerry West,Cal Ripken Jr
,Deion Sanders,Kevin Durant,Roberto Clemente
,Aaron Donald,Nikola Jokic,Jackie Robinson
,,,Shohei Ohtani
,,,Aaron Judge
,,,Clayton Kershaw
,,,Mike Trout
,,,Mookie Betts
